timestamp,pr_url,pr_number,pr_title,modified_keys,expected_types,actual_types,match_status,status,verified_types,verified_reasons
2026-01-28T04:32:29.293465,https://github.com/ros/rosdistro/pull/47034,47034,Add missing nixos rosdep rules,"atlas, libfl-dev, libiio-dev, python3-attrs, python3-httpx, python3-marisa, python3-msgpack-numpy, python3-platformdirs, python3-pydub, python3-setproctitle, python3-soundfile, python3-unidecode, python3-wheel, sound-theme-freedesktop",A.2,"A.2,B.1b",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T04:25:02.957739,https://github.com/ros/rosdistro/pull/47038,47038,add python3 redis,python3-redis,A.1,"A.1,B.2a",match_with_extra,match_with_extra,"A.1,B.2",
2026-01-28T04:24:40.333308,https://github.com/ros/rosdistro/pull/47089,47089,Add MuJoCo MJX entry,python3-mujoco-mjx-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:24:17.181319,https://github.com/ros/rosdistro/pull/47090,47090,adding python bleak,python3-bleak,A.1,A.1,exact_match,exact_match,,
2026-01-28T04:23:52.368123,https://github.com/ros/rosdistro/pull/47104,47104,Add 'lua-dev' rule for RHEL,lua-dev,A.2,"A.2,B.1b",match_with_extra,match_with_extra,A.2,
2026-01-28T04:21:11.399073,https://github.com/ros/rosdistro/pull/47205,47205,Update libqt5-* rosdep keys for Ubuntu 24.04 (Noble) compatibility,"libqt5-gui, libqt5-widgets, libqt5-xml",B.1,"A.2,B.1a,B.1b",match_with_extra,match_with_extra,"A.2, B.1",
2026-01-28T04:20:23.213950,https://github.com/ros/rosdistro/pull/47211,47211,Add sdformat versions on nixos,"sdformat11, sdformat12, sdformat13",A.2,"A.2,B.1a,B.1b",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T02:50:44.404687,https://github.com/ros/rosdistro/pull/47214,47214,"Add Qt6 svg, qt5-compat, base-private and declarative-private packages","libqt6svg6, qt6-5compat-dev, qt6-base-private-dev, qt6-declarative-private-dev",A.1,A.1,exact_match,exact_match,,
2026-01-28T02:50:22.405502,https://github.com/ros/rosdistro/pull/47215,47215,Add more qml6-module-* packages,"qml6-module-qt-labs-folderlistmodel, qml6-module-qt-labs-platform, qml6-module-qt-labs-settings, qml6-module-qt5compat-graphicaleffects, qml6-module-qtcharts, qml6-module-qtcore, qml6-module-qtpositioning, qml6-module-qtqml, qml6-module-qtqml-models, qml6-module-qtquick-controls, qml6-module-qtquick-dialogs, qml6-module-qtquick-layouts, qml6-module-qtquick-templates, qml6-module-qtquick-window",A.1,A.1,exact_match,exact_match,,
2026-01-28T02:50:03.942620,https://github.com/ros/rosdistro/pull/47230,47230,add libicu-devel entry for rhel,libicu-dev,A.2,A.2,exact_match,exact_match,,
2026-01-28T02:49:05.112565,https://github.com/ros/rosdistro/pull/47247,47247,Add uhubctl to the rosdep database,uhubctl,A.1,A.1,exact_match,exact_match,,
2026-01-28T02:48:43.329566,https://github.com/ros/rosdistro/pull/47264,47264,Add python3-mongomock-pip for debian and ubuntu,python3-mongomock,A.1,A.1,exact_match,exact_match,,
2026-01-28T02:48:21.590976,https://github.com/ros/rosdistro/pull/47270,47270,add hydro-core from pypi,python3-hydra-core-pip,A.1,A.1,exact_match,exact_match,,
2026-01-28T02:47:58.806547,https://github.com/ros/rosdistro/pull/47288,47288,rosdep: adding dependencies for openembedded,"python-simplejson, python-tqdm, python3-attrs, python3-cryptography, python3-filelock, python3-httpx, python3-platformdirs, python3-setproctitle, python3-toml, python3-websockets, python3-wheel","A.2,B.1","A.2,B.1a,B.1b",exact_match,exact_match,,
2026-01-28T05:35:30.459071,https://github.com/ros/rosdistro/pull/47304,47304,rosdep: fixing openembedded,"libzstd-dev, python-termcolor, python-twisted-core, python-yaml, python3-pycryptodome, python3-pyparsing, python3-pytest, python3-requests, python3-ruamel.yaml, python3-yaml",B.1,"A.2,B.1a,B.1b",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T05:29:23.460080,https://github.com/ros/rosdistro/pull/47322,47322,Add python3-pytest-dependency,python3-pytest-dependency,A.1,"A.1,B.2a",match_with_extra,match_with_extra,"A.1,B.2",
2026-01-28T05:27:16.452097,https://github.com/ros/rosdistro/pull/47342,47342,rosdep: fixing openembedded,"castxml, fmt, libgrpc, libmicrohttpd, libomp-dev, python-click, python-lxml, python-sphinx, python-tqdm, python3-click, python3-colorama, python3-deprecated, python3-importlib-metadata, python3-lxml, python3-paho-mqtt, python3-rich, python3-semver, python3-sphinx, python3-tqdm, python3-typing-extensions, python3-waitress, sdl","A.2,B.1","A.2,B.1a,B.1b",exact_match,exact_match,,
2026-01-28T05:10:45.685497,https://github.com/ros/rosdistro/pull/47481,47481,Add libdwarf-dev to rosdep,libdwarf-dev,A.1,A.1,exact_match,exact_match,,
2026-01-28T05:10:28.115482,https://github.com/ros/rosdistro/pull/47529,47529,distro: add python3-pre-commit for openembedded,python3-pre-commit,A.2,A.2,exact_match,exact_match,,
2026-01-28T05:08:22.199009,https://github.com/ros/rosdistro/pull/47604,47604,Add python3-docstring-parser to rosdep/python.yaml,python3-docstring-parser,A.1,A.1,exact_match,exact_match,,
2026-01-28T05:08:04.295648,https://github.com/ros/rosdistro/pull/47634,47634,add tweeny,libtweeny-dev,A.1,A.1,exact_match,exact_match,,
2026-01-28T05:07:38.348854,https://github.com/ros/rosdistro/pull/47643,47643,Add libqt6bluetooth6 and qt6-connectivity-dev,"libqt6bluetooth6, qt6-connectivity-dev",A.1,A.1,exact_match,exact_match,,
2026-01-28T05:07:19.460142,https://github.com/ros/rosdistro/pull/47652,47652,Add libpaho-mqttpp and libpaho-mqttpp-dev for RHEL,"libpaho-mqttpp, libpaho-mqttpp-dev",A.2,A.2,exact_match,exact_match,,
2026-01-28T05:04:08.893510,https://github.com/ros/rosdistro/pull/47703,47703,Add libglib2.0-dev-bin for debian based distros,libglib-dev,B.1,A.2,mismatch,mismatch,"B.1,A.2",
2026-01-28T05:40:29.772435,https://github.com/ros/rosdistro/pull/47771,47771,openembedded: python(3)-psutil,"python-psutil, python3-psutil",B.1,"A.2,B.1a,B.1b",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T05:39:21.929600,https://github.com/ros/rosdistro/pull/47772,47772,openembedded: python(3)pyudev,"python-pyudev, python3-pyudev",A.2,"A.2,B.1a,B.1b",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T05:37:59.345987,https://github.com/ros/rosdistro/pull/47775,47775,openembedded: python3-whichcraft meta-ros-common -> meta-ros2,python3-whichcraft,B.1,"A.2,B.1a",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T05:37:14.035508,https://github.com/ros/rosdistro/pull/47776,47776,openembedded: python(3)-pyproj,"python-pyproj, python3-pyproj",B.1,"A.2,B.1a,B.1b",match_with_extra,match_with_extra,"A.2,B.1",
2026-01-28T05:35:48.973926,https://github.com/ros/rosdistro/pull/47813,47813,Add spatialite-bin,spatialite-bin,A.1,A.1,exact_match,exact_match,,
